original_id	curie	drug_name	curie_label	ingredients_list	ingredient_ids	combination_therapy	alternate_ids	approved_japan	marketing_status_europe	approved_eu	marketing_status_usa	approved_usa	is_steroid	is_antimicrobial	is_chemotherapy	is_glucose_regulator	name	category	id	normalization_success										
CHEBI:71255	CHEBI:71255	ASENAPINE; ASENAPINE 	Asenapine			FALSE	"['CHEBI:71255', 'PUBCHEM.COMPOUND:9903970', 'CHEMBL.COMPOUND:CHEMBL3187365', 'DRUGBANK:DB06216', 'CAS:158018-50-9', 'DrugCentral:4115', 'HMDB:HMDB0242748', 'INCHIKEY:VSWBSWWIRNCQIJ-UHFFFAOYSA-N']"	FALSE	Authorised	TRUE	RX	TRUE	FALSE	FALSE	FALSE	FALSE	Asenapine	biolink:Drug	CHEBI:71255	TRUE										
DRUGBANK:DB14113	DRUGBANK:DB14113	ANTIVENIN (LATRODECTUS MACTANS)	Black widow spider antivenin (equine)			FALSE	"['DRUGBANK:DB14113', 'UMLS:C0301504', 'RXCUI:89887', 'RXCUI:795461', 'UMLS:C0694261', 'RXCUI:1162831', 'UMLS:C3217153', 'RXCUI:1867738', 'UMLS:C4307205', 'RXCUI:1867739', 'UMLS:C4307256']"	FALSE		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	Black widow spider antivenin (equine)	biolink:Drug	DRUGBANK:DB14113	TRUE										
MESH:D016899	MESH:D016899	INTERFERON-BETA	Interferon-beta			FALSE	"['MESH:D016899', 'UMLS:C0015980', 'RXCUI:4381']"	TRUE		FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	Interferon-beta	biolink:Drug	MESH:D016899	TRUE										
RXCUI:1157355	RXCUI:1157355	ETHINYL ESTRADIOL; NORETHINDRONE	ethinyl estradiol / norethindrone Pill	"['ETHINYL ESTRADIOL', 'NORETHINDRONE ACETATE']; ['ETHINYL ESTRADIOL', 'NORETHINDRONE']"	"['CHEBI:4903', 'CHEBI:7627']"	TRUE	"['RXCUI:1157355', 'UMLS:C3211778', 'RXCUI:2661136', 'UMLS:C5844942']"	FALSE		FALSE	RX	TRUE	FALSE	FALSE	FALSE	FALSE	ethinyl estradiol / norethindrone Pill	biolink:Drug	RXCUI:1157355	TRUE										
RXCUI:1157364	RXCUI:1157364	ETHINYL ESTRADIOL; NORGESTIMATE	ethinyl estradiol / norgestimate Pill	"['ETHINYL ESTRADIOL', 'NORGESTIMATE']"	"['CHEBI:4903', 'CHEBI:50815']"	TRUE	"['RXCUI:1157364', 'UMLS:C3211787']"	FALSE		FALSE	RX	TRUE	FALSE	FALSE	FALSE	FALSE	ethinyl estradiol / norgestimate Pill	biolink:Drug	RXCUI:1157364	TRUE										
RXCUI:1250232	RXCUI:1250232	ACETIC ACID; ALUMINUM ACETATE; GLACIAL	aluminum sulfate / calcium acetate Topical Product	"['ACETIC ACID, GLACIAL', 'ALUMINUM ACETATE']"	"['CHEBI:15366', 'CHEBI:15366', 'UNII:80EHD8I43D']"	TRUE	"['RXCUI:1250232', 'UMLS:C3281966', 'RXCUI:1250233', 'UMLS:C3281967', 'RXCUI:1293264', 'UMLS:C0699643', 'RXCUI:1293265', 'UMLS:C3464864', 'RXCUI:1293266', 'UMLS:C3464865', 'RXCUI:1293267', 'UMLS:C3464866']"	FALSE		FALSE	DISCONTINUED	TRUE	FALSE	FALSE	FALSE	FALSE	aluminum sulfate / calcium acetate Topical Product	biolink:Drug	RXCUI:1250232	TRUE										
RXCUI:2562180	RXCUI:2562180	DEXMETHYLPHENIDATE ; DEXMETHYLPHENIDATE; SERDEXMETHYLPHENIDATE	dexmethylphenidate / serdexmethylphenidate Oral Product	"['DEXMETHYLPHENIDATE HYDROCHLORIDE', 'SERDEXMETHYLPHENIDATE CHLORIDE']"	"['CHEMBL.COMPOUND:CHEMBL904', 'UNII:FN54BT298Y']"	False; True	"['RXCUI:2562180', 'UMLS:C5540732', 'RXCUI:2562181', 'UMLS:C5540733', 'RXCUI:2562188', 'UMLS:C5540590', 'RXCUI:2562189', 'UMLS:C5540722', 'RXCUI:2562190', 'UMLS:C5540591', 'RXCUI:2562196', 'UMLS:C5540592', 'RXCUI:2562198', 'UMLS:C5540611', 'RXCUI:2562200', 'UMLS:C5540631', 'RXCUI:2562202', 'UMLS:C5540545', 'RXCUI:2562203', 'UMLS:C5540632']"	FALSE		FALSE	RX	TRUE	FALSE	FALSE	FALSE	FALSE	dexmethylphenidate / serdexmethylphenidate Oral Product	biolink:Drug	RXCUI:2562180	TRUE										
RXCUI:829538	RXCUI:829538	ADAPALENE; BENZOYL PEROXIDE	adapalene / benzoyl peroxide Topical Gel	"['ADAPALENE', 'BENZOYL PEROXIDE']"	"['CHEBI:31174', 'CHEBI:82405']"	TRUE	"['RXCUI:829538', 'UMLS:C2586538', 'RXCUI:830645', 'UMLS:C2586876', 'RXCUI:830646', 'UMLS:C2586877', 'RXCUI:830647', 'UMLS:C2586878', 'RXCUI:1163692', 'UMLS:C3217987', 'RXCUI:1167609', 'UMLS:C3221799', 'RXCUI:1663746', 'UMLS:C4046909']"	FALSE		FALSE	RX	TRUE	FALSE	FALSE	FALSE	FALSE	adapalene / benzoyl peroxide Topical Gel	biolink:Drug	RXCUI:829538	TRUE										
UNII:C7S8VWP5DH	UNII:C7S8VWP5DH	PAMIDRONATE DISODIUM	PAMIDRONATE DISODIUM			FALSE	"['UNII:C7S8VWP5DH', 'CHEMBL.COMPOUND:CHEMBL676', 'INCHIKEY:CEYUIFJWVHOCPP-UHFFFAOYSA-L']"	TRUE		FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	PAMIDRONATE DISODIUM	biolink:Drug	UNII:C7S8VWP5DH	TRUE										
DRUGBANK:DB10558	DRUGBANK:DB10558	PURIFIED PINEAPPLE STEM JUICE	Pineapple			FALSE	"['DRUGBANK:DB10558', 'UMLS:C2740859', 'RXCUI:899895', 'RXCUI:899896', 'UMLS:C2740860', 'RXCUI:899897', 'UMLS:C2740861', 'RXCUI:899898', 'UMLS:C2726043', 'RXCUI:1011077', 'UMLS:C2938016', 'RXCUI:1011078', 'UMLS:C2728107', 'RXCUI:1162621', 'UMLS:C3216943', 'UMLS:C3813540', 'RXCUI:1492174']"	TRUE		FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	Pineapple	biolink:Drug	DRUGBANK:DB10558	TRUE										
