SourceA	SourceB	Pre	Post
LitCoin_without_umls_with_autocomplete	STRING-DB	0	0
BINDING-DB	DrugMechDB	486	986
YeastHistoneMapping	YeastGSE61888	1695538	1695538
Reactome	DrugMechDB	493	526
MolePro	MetabolomicsWorkbench	665	1726
LitCoin_without_umls	Cord19	97	262
Biolink	CTD	9154	15001
HGNC	PANTHER	14968	14943
Biolink	KinAce	0	3086
MolePro	Ubergraph	218752	77831
old_Ubergraph	SGD	5149	
PFOCR	HumanGOA	0	0
YeastGaschDiamideGeneExpression	Ubergraph	0	5426
HGNC	HMDB	0	8
HMDB	textminingkp	5126	7252
MolePro	STRING-DB-Human	64	5148
YeastGaschDiamideGeneExpression	Costanza2016Data	5086	5086
OHD-Carolina	Hetio	352	2779
MolePro	Costanza2016Data	0	62
LitCoinBagelService	SIGNOR	2	187
old_Ubergraph	MonarchKG	56227	
MolePro	Cord19	7366	25414
OHD-Carolina	DrugCentral	195	3444
LitCoin_without_umls	GenomeAllianceOrthologs	0	46
CAM-KP	YeastGSE61888	0	1
YeastGaschDiamideGeneExpression	SGD	6132	6127
LitCoin_without_umls_with_autocomplete	CAM-KP	126	152
Reactome	HMDB	1360	1936
CCIDB	CHEBIProps	2	2
CHEBIProps	GtoPdb	0	1445
OHD-Carolina	STRING-DB-Human	0	0
STRING-DB-Yeast	GTEx	0	0
CCIDB	MonarchKG	3	324
HumanGOA	LitCoin	91	67
DrugCentral	HumanGOA	1839	1841
STRING-DB-Yeast	Ubergraph	0	0
CCIDB	OHD-Carolina	2	2
HMDB	PFOCR	0	123
MolePro	GtoPdb	870	6983
YeastHistoneMapping	LitCoin	0	0
YeastHistoneMapping	DrugCentral	0	0
OntologicalHierarchy	UbergraphNonredundant	3736799	3098884
STRING-DB	CHEBIProps	0	0
PHAROS	KinAce	0	2478
MolePro	PANTHER	3445	22409
YeastGaschDiamideGeneExpression	CTD	0	1
HGNC	Ubergraph	2789	14337
DrugCentral	CHEBIProps	0	1733
MolePro	STRING-DB	203	5266
YeastGSE61888	GenomeAllianceOrthologs	0	0
LitCoinBagelService	Cord19	128	516
YeastGSE61888	old_Ubergraph	0	
HMDB	Costanza2016Data	0	0
LitCoinSapBERT	LitCoin_without_umls_with_autocomplete	142	164
Biolink	Hetio	19367	21090
LitCoinSapBERT	Cord19	161	527
LitCoin_without_umls	SIGNOR	6	24
LitCoin_without_umls_with_autocomplete	MonarchKG	203	305
COHD	MetabolomicsWorkbench	0	1
OntologicalHierarchy	old_Ubergraph	3337595	
DrugCentral	Hetio	1158	4522
MONDOProps	HMDB	0	371
COHD	LitCoinSapBERT_without_umls	0	0
BINDING-DB	LitCoinSapBERT_without_umls	39	6
UbergraphRedundant	COHD	55	36
Biolink	STRING-DB-Human	0	0
DrugMechDB	STRING-DB-Human	0	1
LitCoin_without_umls_with_autocomplete	LitCoinBagelService	133	134
LINCS	PHAROS	3805	5369
HGNC	SIGNOR	0	5186
YeastGaschDiamideGeneExpression	CHEBIProps	0	0
HMDB	SGD	0	0
LitCoin_without_umls	SGD	7	7
IntAct	Cord19	51	264
MetabolomicsWorkbench	CHEBIProps	0	625
YeastGSE61888	Ubergraph	0	0
YeastGaschDiamideGeneExpression	HumanGOA	0	0
YeastGSE61888	MonarchKG	0	0
YeastHistoneMapping	PHAROS	0	0
MolePro	LitCoinBagelService	784	771
BINDING-DB	LitCoin_without_umls	93	16
KinAce	CHEBIProps	0	0
DrugCentral	KinAce	776	9
KinAce	LitCoin	11	165
CTD	PANTHER	0	8999
MONDOProps	LitCoin_without_umls	103	103
OntologicalHierarchy	CAM-KP	30857	37640
STRING-DB-Yeast	LitCoinBagelService	0	0
LitCoin_without_umls_with_autocomplete	GtoPdb	5	34
YeastGaschDiamideGeneExpression	STRING-DB	0	0
YeastGaschDiamideGeneExpression	YeastHistoneMapping	6132	6132
Biolink	GWASCatalog	2557	1005
UbergraphNonredundant	LitCoin_without_umls_with_autocomplete	853	920
CTD	YeastHistoneMapping	0	0
KinAce	HumanGOA	3123	38
YeastHistoneMapping	SIGNOR	0	0
OHD-Carolina	GTEx	0	1
